fecha_corte,variante,vida_media,umbral_parcial,horizonte_dias,n_seleccionados,n_efectivo,n_dias_reales,retorno_total,retorno_anualizado,sortino_realizado,max_drawdown
2019-11-24,grid_vm189_um0.3,189.0,0.3,63,17,2.82,40,0.0392041981955894,0.24698644863221322,11.151568174783705,-0.006805458403949519
2019-11-24,grid_vm189_um0.3,189.0,0.3,126,17,2.82,84,-0.06767568083905447,-0.20302704251716341,-1.1820225480445006,-0.2533886577445015
2019-11-24,grid_vm252_um0.1,252.0,0.1,63,16,2.77,40,0.03656451282773976,0.23035643081476048,10.470003949213169,-0.006967004496166884
2019-11-24,grid_vm252_um0.1,252.0,0.1,126,16,2.77,84,-0.07017709917094972,-0.21053129751284916,-1.2180893391526644,-0.25248554854051425
2019-11-24,grid_vm252_um0.2,252.0,0.2,63,16,2.82,40,0.04014025772092976,0.25288362364185746,11.073215130757536,-0.006714942510410948
2019-11-24,grid_vm252_um0.2,252.0,0.2,126,16,2.82,84,-0.06630151035150744,-0.19890453105452233,-1.130534716053943,-0.25768465812707037
2019-11-24,grid_vm252_um0.3,252.0,0.3,63,17,2.9,40,0.04106756216753307,0.25872564165545836,11.806951962831747,-0.00656514960632678
2019-11-24,grid_vm252_um0.3,252.0,0.3,126,17,2.9,84,-0.06510963771608022,-0.19532891314824066,-1.125999583854442,-0.2556397149254948
2019-11-24,hrp_crudo_sin_purga,,,63,102,2.36,40,0.011176909025962124,0.07041452686356138,3.111308677052144,-0.0025493885858356782
2019-11-24,hrp_crudo_sin_purga,,,126,102,2.36,84,0.008115044714250069,0.024345134142750205,-0.40610074236152854,-0.052962918519684835
2019-11-24,equal_weight_universo_produccion,,,63,16,16.0,40,0.05999677460819857,0.377979680031651,9.07165419116402,-0.01398335194088363
2019-11-24,equal_weight_universo_produccion,,,126,16,16.0,84,-0.15820663300015733,-0.47461989900047197,-1.3873781138297252,-0.39432788975565525
2020-01-26,grid_vm63_um0.1,63.0,0.1,63,12,3.55,43,-0.10063181501850169,-0.5897492415037773,-2.1076470450764213,-0.24538589051422002
2020-01-26,grid_vm63_um0.1,63.0,0.1,126,12,3.55,86,0.00787265376232165,0.023068706373314603,-0.09372732198609132,-0.24538589051422002
2020-01-26,grid_vm63_um0.2,63.0,0.2,63,15,4.03,43,-0.11045469534600122,-0.6473158890044722,-2.2076235347549384,-0.2535671308312283
2020-01-26,grid_vm63_um0.2,63.0,0.2,126,15,4.03,86,0.002634810476831416,0.007720607443738568,-0.15566745249833822,-0.2535671308312283
2020-01-26,grid_vm63_um0.3,63.0,0.3,63,16,3.72,43,-0.10404866197968546,-0.6097735539274589,-2.133662008323172,-0.25212720900259733
2020-01-26,grid_vm63_um0.3,63.0,0.3,126,16,3.72,86,-0.001420468882631508,-0.0041623041677109306,-0.20962614089171352,-0.25212720900259733
